1,black,1,4u,05.jpg,,4,,,
1,black,,1g+3r+1k,010.jpg,,,1,3,1
1,black,,3g,015.jpg,,,3,,
1,black,,2w+2u+1r,020.jpg,2,2,,1,
1,black,,2w+2g,025.jpg,2,,2,,
1,black,,1w+2u+1g+1r,030.jpg,1,2,1,1,
1,black,,2g+1r,035.jpg,,,2,1,
1,black,,1w+1u+1g+1r,040.jpg,1,1,1,1,
1,blue,1,4r,02.jpg,,,,4,
1,blue,,3k,012.jpg,,,,,3
1,blue,,1w+2g+2r,017.jpg,1,,2,2,
1,blue,,2g+2k,022.jpg,,,2,,2
1,blue,,1w+1g+2r+1k,027.jpg,1,,1,2,1
1,blue,,1w+2k,032.jpg,1,,,,2
1,blue,,1w+1g+1r+1k,037.jpg,1,,1,1,1
1,blue,,1u+3g+1r,07.jpg,,1,3,1,
1,green,1,4k,03.jpg,,,,,4
1,green,,3r,013.jpg,,,,3,
1,green,,1u+2r+2k,018.jpg,,1,,2,2
1,green,,2u+2r,023.jpg,,2,,2,
1,green,,1w+1u+1r+2k,028.jpg,1,1,,1,2
1,green,,2w+1u,033.jpg,2,1,,,
1,green,,1w+1u+1r+1k,038.jpg,1,1,,1,1
1,green,,1w+3u+1g,08.jpg,1,3,1,,
1,red,1,4w,04.jpg,4,,,,
1,red,,3w,014.jpg,3,,,,
1,red,,2w+1g+2k,019.jpg,2,,1,,2
1,red,,2w+2r,024.jpg,2,,,2,
1,red,,2w+1u+1g+1k,029.jpg,2,1,1,,1
1,red,,2u+1g,034.jpg,,2,1,,
1,red,,1w+1u+1g+1k,039.jpg,1,1,1,,1
1,red,,1w+1r+3k,09.jpg,1,,,1,3
1,white,1,4g,01.jpg,,,4,,
1,white,,3u,011.jpg,,3,,,
1,white,,2u+2g+1k,016.jpg,,2,2,,1
1,white,,2u+2k,021.jpg,,2,,,2
1,white,,1u+2g+1r+1k,026.jpg,,1,2,1,1
1,white,,2r+1k,031.jpg,,,,2,1
1,white,,1u+1g+1r+1k,036.jpg,,1,1,1,1
1,white,,3w+1u+1k,06.jpg,3,1,,,1
2,black,3,6k,055.jpg,,,,,6
2,black,2,1u+4g+2r,060.jpg,,1,4,2,
2,black,2,5w,065.jpg,5,,,,
2,black,2,5g+3r,070.jpg,,,5,3,
2,black,1,3w+2u+2g,045.jpg,3,2,2,,
2,black,1,3w+3g+2k,050.jpg,3,,3,,2
2,blue,3,6u,052.jpg,,6,,,
2,blue,2,2w+1r+4k,057.jpg,2,,,1,4
2,blue,2,5u,062.jpg,,5,,,
2,blue,2,5w+3u,067.jpg,5,3,,,
2,blue,1,2u+2g+3r,042.jpg,,2,2,3,
2,blue,1,2u+3g+3k,047.jpg,,2,3,,3
2,green,3,6g,053.jpg,,,6,,
2,green,2,4w+2u+1k,058.jpg,4,2,,,1
2,green,2,5g,063.jpg,,,5,,
2,green,2,5u+3g,068.jpg,,5,3,,
2,green,1,2w+3u+2k,043.jpg,2,3,,,2
2,green,1,3w+2g+3r,048.jpg,3,,2,3,
2,red,3,6r,054.jpg,,,,6,
2,red,2,1w+4u+2g,059.jpg,1,4,2,,
2,red,2,5k,064.jpg,,,,,5
2,red,2,3w+5k,069.jpg,3,,,,5
2,red,1,3u+2r+3k,049.jpg,,3,,2,3
2,red,1,2w+2r+3k,044.jpg,2,,,2,3
2,white,3,6w,051.jpg,6,,,,
2,white,2,1g+4r+2k,056.jpg,,,1,4,2
2,white,2,5r,061.jpg,,,,5,
2,white,2,5r+3k,066.jpg,,,,5,3
2,white,1,3g+2r+2k,041.jpg,,,3,2,2
2,white,1,2w+3u+3r,046.jpg,2,3,,3,
3,black,5,7r+3k,090.jpg,,,,7,3
3,black,4,7r,080.jpg,,,,7,
3,black,4,3g+6r+3k,085.jpg,,,3,6,3
3,black,3,3w+3u+5g+3r,075.jpg,3,3,5,3,
3,blue,5,7w+3u,087.jpg,7,3,,,
3,blue,4,7w,077.jpg,7,,,,
3,blue,4,6w+3u+3k,082.jpg,6,3,,,3
3,blue,3,3w+3g+3r+5k,072.jpg,3,,3,3,5
3,green,5,7u+3g,088.jpg,,7,3,,
3,green,4,7u,078.jpg,,7,,,
3,green,4,3w+6u+3g,083.jpg,3,6,3,,
3,green,3,5w+3u+3r+3k,073.jpg,5,3,,3,3
3,red,5,7g+3r,089.jpg,,,7,3,
3,red,4,7g,079.jpg,,,7,,
3,red,4,3u+6g+3r,084.jpg,,3,6,3,
3,red,3,3w+5u+3g+3k,074.jpg,3,5,3,,3
3,white,5,3w+7k,086.jpg,3,,,,7
3,white,4,7k,076.jpg,,,,,7
3,white,4,3w+3r+6k,081.jpg,3,,,3,6
3,white,3,3u+3g+5r+3k,071.jpg,,3,3,5,3
